#header_line 1:	mpirun -np 2 --map-by core --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include br0 ./IMB-MPI1 PingPong					
#header_line 2:	ct1pt-tnode008.hpc,ct1pt-tnode009.hpc					
#header:	Bytes	Repetition	t_usec	Mbytes.sec	est_lat	est_band
1	0	1000	4,864	0	4,92061847454871	0
2	1	1000	4,948	0,2	4,92075381007333	0,203220896349842
3	2	1000	4,947	0,405	4,92088914559795	0,406430614635798
4	4	1000	4,944	0,809	4,92115981664719	0,812816520704914
5	8	1000	4,945	1,618	4,92170115874567	1,6254542366483
6	16	1000	4,95	3,234	4,92278384294263	3,25019349020125
7	32	1000	4,956	6,457	4,92494921133654	6,49752893417469
8	64	1000	4,966	12,885	4,92927994812438	12,9836407494673
9	128	1000	5,029	25,458	4,93794142170005	25,9217331816649
10	256	1000	5,057	50,619	4,9552643688514	51,6622284795149
11	512	1000	5,094	100,525	4,98991026315409	102,607055637984
12	1024	1000	5,651	181,195	5,05920205175948	202,403459977226
13	2048	1000	5,49	373,088	5,19778562897025	394,013940972347
14	4096	1000	6,354	644,481	5,47495278339179	748,134305819983
15	8192	1000	6,761	1211,355	6,02928709223488	1358,70126512146
16	16384	1000	8,843	1852,409	7,13795570992105	2295,33506032096
17	32768	1000	14,468	2264,859	9,3552929452934	3502,61613309345
18	65536	640	27,814	2356,406	13,7899674160381	4752,44052598558
19	131072	320	35,124	3731,766	22,6593163575275	5784,46401170694
20	262144	160	47,436	5526,416	40,3980142405062	6489,03182318189
21	524288	80	81,277	6450,724	75,8754100064637	6909,85392968996
22	1048576	40	139,873	7496,659	146,830201538379	7141,41906102282
23	2097152	20	271,743	7717,543	288,739784602209	7263,12102396698
24	4194304	10	587,454	7139,969	572,558950729869	7325,54088038151
