"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";1,376;0;1,46661359570662;0
"2";"1";"1000";1,37;0,73;1,46669696200504;0,681804098532362
"3";"2";"1000";1,37;1,46;1,46678032830346;1,3635306946837
"4";"4";"1000";1,371;2,914;1,4669470609003;2,72675143269663
"5";"8";"1000";1,371;5,828;1,46728052609398;5,45226346136866
"6";"16";"1000";1,376;11,628;1,46794745648134;10,8995726852185
"7";"32";"1000";1,403;22,811;1,46928131725606;21,7793554060574
"8";"64";"1000";1,69;37,896;1,47194903880551;43,479766155448
"9";"128";"1000";1,731;73,929;1,4772844819044;86,6454644098018
"10";"256";"1000";2,158;122,212;1,48795536810218;172,048171261022
"11";"512";"1000";2,238;235,423;1,50929714049774;339,230749374608
"12";"1024";"1000";2,309;443,462;1,55198068528886;659,802025699445
"13";"2048";"1000";2,997;683,676;1,63734777487109;1250,80329996554
"14";"4096";"1000";3,945;1037,947;1,80808195403556;2265,38403906853
"15";"8192";"1000";5,529;1481,614;2,14955031236451;3811,02966182205
"16";"16384";"1000";7,344;2231,061;2,8324870290224;5784,31598525439
"17";"32768";"1000";10,13;3235,639;4,19836046233818;7804,95155047992
"18";"65536";"640";14,521;4513,283;6,93010732896975;9456,70779528068
"19";"131072";"320";23,535;5569,12;12,3936010622329;10575,7801418521
"20";"262144";"160";33,793;7757,682;23,3205885287591;11240,8826937074
"21";"524288";"80";56,482;9284,856;45,1745634618117;11605,8232736041
"22";"1048576";"40";98,837;10608,975;88,8825133279167;11797,326163938
"23";"2097152";"20";185,247;11320,978;176,298413060127;11895,467256899
"24";"4194304";"10";354,988;11815,341;351,130212524547;11945,1526823736
