#header_line 1:	mpirun -np 2 -ppn=1 ./IMB-MPI1 PingPong					
#header_line 2:	ct1pt-tnode008.hpc,ct1pt-tnode009.hpc					
	Bytes	Repetition	t_usec	Mbytes.sec	est_lat	est_band
1	0	1000	0,432	0	0,452455195966824	0
2	1	1000	0,433	2,303	0,452622434167374	2,20934696230769
3	2	1000	0,434	4,598	0,452789672367924	4,41706187674452
4	4	1000	0,438	9,157	0,453124148769024	8,82760279024317
5	8	1000	0,435	18,344	0,453793101571224	17,6291794042276
6	16	1000	0,435	36,743	0,455131007175625	35,154713143563
7	32	1000	0,467	68,393	0,457806818384426	69,8984783864211
8	64	1000	0,469	136,217	0,463158440802028	138,181655265042
9	128	1000	0,58	220,975	0,473861685637231	270,121016067949
10	256	1000	0,615	414,699	0,495268175307638	516,891681644968
11	512	1000	0,835	612,639	0,538081154648453	951,529328943898
12	1024	1000	0,899	1138,677	0,623707113330081	1641,79625037894
13	2048	1000	1,077	1902,875	0,794959030693338	2576,23339181869
14	4096	1000	1,517	2702,568	1,13746286541985	3600,99667824155
15	8192	1000	1,994	4109,636	1,82247053487288	4494,99722670216
16	16384	1000	3,284	4986,959	3,19248587377894	5132,0508994473
17	32768	1000	5,114	6409,82	5,93251655159105	5523,45698744185
18	65536	640	9,276	7066,247	11,4125779072153	5742,43615533759
19	131072	320	17,985	7289,039	22,3727006184637	5858,56854008179
20	262144	160	34,625	7572,206	44,2929460409607	5918,41418174302
21	524288	80	83,171	6306,437	88,1334368859545	5948,79785158536
22	1048576	40	171,644	6123,482	175,814418575942	5964,10697423586
23	2097152	20	345,04	6111,135	351,176381955917	5971,79112194183
24	4194304	10	702,244	6052,347	701,900308715868	5975,64062576566
