#header_line 1:	mpirun -np 2 -f $PBS_NODEFILE ./IMB-MPI1 PingPong					
#header_line 2:	ct1pt-tnode008.hpc,ct1pt-tnode009.hpc					
	Bytes	Repetition	t_usec	Mbytes.sec	est_lat	est_band
1	0	1000	0,767	0	0,815853309481217	0
2	1	1000	0,772	2,231	0,815938224109482	1,22558297975487
3	2	1000	0,777	4,439	0,816023138737748	2,45091089340146
4	4	1000	0,774	8,881	0,816192967994279	4,90080184080689
5	8	1000	0,773	17,816	0,816532626507341	9,79752644327198
6	16	1000	0,774	35,539	0,817211943533466	19,5787642686903
7	32	1000	0,787	69,136	0,818570577585716	39,0925362775443
8	64	1000	0,899	133,544	0,821287845690215	77,926393694788
9	128	1000	0,935	252,822	0,826722381899213	154,828274645169
10	256	1000	1,199	451,459	0,83759145431721	305,638266341539
11	512	1000	1,3	652,731	0,859329599153203	595,81329504364
12	1024	1000	1,315	1232,297	0,902805888825189	1134,24160461837
13	2048	1000	1,804	1850,505	0,989758468169162	2069,1916925837
14	4096	1000	2,36	2662,637	1,16366362685711	3519,91753068945
15	8192	1000	3,188	3428,543	1,511473944233	5419,87510354143
16	16384	1000	4,58	4428,675	2,20709457898478	7423,33389606544
17	32768	1000	7,176	5779,555	3,59833584848835	9106,4318006241
18	65536	640	9,846	7741,773	6,38081838749548	10270,782840087
19	131072	320	16,521	9715,56	11,9457834655097	10972,2397345001
20	262144	160	25,442	11880,429	23,0757136215383	11360,1687167465
21	524288	80	49,847	10758,701	45,3355739335953	11564,6048899247
22	1048576	40	90,846	11638,753	89,8552945577094	11669,6072853732
23	2097152	20	171,118	12345,289	178,894735805938	11722,8267816386
24	4194304	10	363,754	11546,67	356,973618302394	11749,6189772965
