#header_line 1:	mpirun -np 2 --map-by node --mca pml ucx --mca btl ^uct -x UCX_NET_DEVICES=br0 ./IMB-MPI1 PingPong					
#header_line 2:	ct1pt-tnode008.hpc,ct1pt-tnode009.hpc					
	Bytes	Repetition	t_usec	Mbytes.sec	est_lat	est_band
1	0	1000	15,187	0	15,2682507724833	0
2	1	1000	15,176	0,065	15,2686657441689	0,0654936074150355
3	2	1000	15,212	0,131	15,2690807158545	0,130983654957258
4	4	1000	15,206	0,262	15,2699106592256	0,261953071584169
5	8	1000	15,188	0,531	15,271570545968	0,523849199132448
6	16	1000	15,188	1,056	15,2748903194526	1,04747069637705
7	32	1000	15,215	2,111	15,2815298664218	2,09403117879668
8	64	1000	15,299	4,202	15,2948089603603	4,18442624330055
9	128	1000	15,846	8,114	15,3213671482372	8,35434584665812
10	256	1000	15,971	16,096	15,3744835239912	16,6509658422362
11	512	1000	16,133	31,876	15,480716275499	33,0734050600961
12	1024	1000	16,577	62,022	15,6931817785146	65,2512673626165
13	2048	1000	39,5	51,887	16,1181127845459	127,062021923784
14	4096	1000	39,914	102,701	16,9679747966086	241,395926685292
15	8192	1000	63,771	130,074	18,6676988207338	438,832878046079
16	16384	1000	49,019	334,246	22,0671468689842	742,461184369421
17	32768	1000	98,172	333,845	28,8660429654852	1135,17464237063
18	65536	640	100,481	652,864	42,463835158487	1543,33681249942
19	131072	320	119,714	1102,102	69,6594195444906	1881,61200390546
20	262144	160	225,233	1166,368	124,050588316498	2113,20239232704
21	524288	80	313,91	1675,171	232,832925860513	2251,77774175331
22	1048576	40	2140,657	1890,659	450,397600948542	2328,11186780678
23	2097152	20	876,048	2397,692	885,5269511246	2368,25315969961
24	4194304	10	1662,417	2535,185	1755,78565147672	2388,84740655692
