#header_line 1:	mpirun -np 2 --map-by node --mca pml ucx --mca btl ^uct -x UCX_NET_DEVICES=ib0 ./IMB-MPI1 PingPong					
#header_line 2:	ct1pt-tnode008.hpc,ct1pt-tnode009.hpc					
	Bytes	Repetition	t_usec	Mbytes.sec	est_lat	est_band
1	0	1000	10,392	0	9,86354464140511	0
2	1	1000	10,372	0,102	9,86389505597352	0,101379829603358
3	2	1000	10,382	0,202	9,86424547054192	0,202752456431939
4	4	1000	10,396	0,405	9,86494629967873	0,405476104834982
5	8	1000	9,502	0,853	9,86634795795236	0,810837002109979
6	16	1000	9,449	1,717	9,86915127449961	1,62121337032715
7	32	1000	9,463	3,427	9,87475790759411	3,2405857742994
8	64	1000	9,488	6,829	9,88597117378312	6,47382021199125
9	128	1000	9,537	13,614	9,90839770616113	12,918334911043
10	256	1000	9,597	27,042	9,95325077091715	25,7202401398363
11	512	1000	9,785	53,05	10,0429569004292	50,9810014198228
12	1024	1000	10,157	102,266	10,2223691594533	100,172473134864
13	2048	1000	18,47	112,018	10,5811936775015	193,550941644194
14	4096	1000	20,272	208,598	11,2988427135978	362,515002980843
15	8192	1000	29,631	281,968	12,7341407857906	643,309991447642
16	16384	1000	34,169	497,936	15,604736930176	1049,93759736616
17	32768	1000	58,154	593,22	21,3459292189469	1535,09363138498
18	65536	640	86,159	792,889	32,8283137964888	1996,32550140329
19	131072	320	132,498	1000,022	55,7930829515724	2349,25179011471
20	262144	160	188,65	1403,982	101,72262126174	2577,04723638102
21	524288	80	270,798	1973,237	193,581697882074	2708,35520989895
22	1048576	40	432,632	2455,768	377,299851122743	2779,15826597789
23	2097152	20	768,456	2777,38	744,736157604082	2815,96640446037
24	4194304	10	1518,76	2813,132	1479,60877056676	2834,7385359127
