#header_line 1:	mpirun -np 2 --map-by socket --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include br0 ./IMB-MPI1 PingPong					
#header_line 2:	ct1pt-tnode008.hpc,ct1pt-tnode009.hpc					
	Bytes	Repetition	t_usec	Mbytes.sec	est_lat	est_band
1	0	1000	7,665	0	7,72702927305253	0
2	1	1000	7,747	0,13	7,72731341442892	0,129411083305194
3	2	1000	7,739	0,259	7,7275975558053	0,258812649799227
4	4	1000	7,739	0,517	7,72816583855807	0,517587236552667
5	8	1000	7,751	1,032	7,72930240406361	1,03502225450437
6	16	1000	7,742	2,067	7,7315755350747	2,06943590312416
7	32	1000	7,76	4,126	7,73612179709686	4,13643952865487
8	64	1000	7,762	8,245	7,74521432114119	8,26316707922553
9	128	1000	8,095	15,818	7,76339936922984	16,4876227425999
10	256	1000	8,127	31,506	7,79976946540715	32,8214828829735
11	512	1000	8,167	62,71	7,87250965776178	65,0364397451328
12	1024	1000	9,214	111,156	8,01799004247103	127,712805151404
13	2048	1000	8,742	234,32	8,30895081188952	246,481179918583
14	4096	1000	10,477	391,024	8,89087235072651	460,697200277012
15	8192	1000	11,417	717,631	10,0547154284005	814,742103676145
16	16384	1000	15,677	1045,218	12,3824015837484	1323,16819876877
17	32768	1000	26,304	1245,819	17,0377738944443	1923,25594898785
18	65536	640	57,124	1147,379	26,3485185158361	2487,2745676616
19	131072	320	76,25	1719,014	44,9700077586197	2914,65371105871
20	262144	160	108,639	2413,045	82,2129862441868	3188,59601111419
21	524288	80	172,007	3048,112	156,698943215321	3345,82983932171
22	1048576	40	307,171	3413,712	305,67085715759	3430,40880557155
23	2097152	20	595,623	3521,043	603,614685042127	3474,32236486035
24	4194304	10	1220,353	3437,086	1199,5023408112	3496,70347217786
