#header_line 1:	mpirun -np 2 --map-by socket ./IMB-MPI1 PingPong					
#header_line 2:	ct1pt-tnode008.hpc,ct1pt-tnode009.hpc					
	Bytes	Repetition	t_usec	Mbytes.sec	est_lat	est_band
1	0	1000	0,401	0	0,484554561717353	0
2	1	1000	0,403	2,485	0,484620386514314	2,06347076562876
3	2	1000	0,401	4,983	0,484686211311276	4,12638105505245
4	4	1000	0,403	9,927	0,4848178609052	8,25052111844978
5	8	1000	0,405	19,743	0,485081160093047	16,4920855686612
6	16	1000	0,403	39,749	0,485607758468742	32,9484027406244
7	32	1000	0,564	56,636	0,486660955220132	65,7541963388565
8	64	1000	0,556	114,982	0,488767348722912	130,941643641344
9	128	1000	0,878	145,813	0,492980135728471	259,645350234763
10	256	1000	0,936	273,5	0,50140570973959	510,564588769753
11	512	1000	1,113	460,48	0,518256857761827	987,927110528072
12	1024	1000	1,31	782,345	0,551959153806302	1855,20974321834
13	2048	1000	2,093	978,174	0,619363745895251	3306,61911287647
14	4096	1000	2,972	1378,246	0,754172930073149	5431,1151152067
15	8192	1000	4,794	1708,754	1,02379129842895	8001,63081340015
16	16384	1000	7,193	2277,747	1,56302803514054	10482,2176132796
17	32768	1000	12,962	2527,981	2,64150150856372	12405,0657907128
18	65536	640	24,209	2707,064	4,79844845541009	13657,7480427263
19	131072	320	46,098	2844,04	9,11234234910283	14384,0074240522
20	262144	160	13,164	19913,412	17,7401301364883	14776,8927275689
21	524288	80	22,949	22845,422	34,9957057112593	14981,4952819002
22	1048576	40	50,73	20673,577	69,5068568608012	15085,9360839743
23	2097152	20	138,118	15185,121	138,529159159885	15138,7044627879
24	4194304	10	291,514	14388,647	276,573763758053	15165,2273267293
