#header_line 1:	mpirun -np 2 --map-by socket --mca pml ob1 --mca btl vader,self ./IMB-MPI1 PingPong					
#header_line 2:	ct1pt-tnode008.hpc,ct1pt-tnode009.hpc					
	Bytes	Repetition	t_usec	Mbytes.sec	est_lat	est_band
1	0	1000	0,576	0	0,714666937713449	0
2	1	1000	0,625	1,599	0,714762675051655	1,39906578071908
3	2	1000	0,621	3,229	0,71485841238986	2,79775682196108
4	4	1000	0,625	6,402	0,71504988706627	5,59401528809595
5	8	1000	0,624	12,83	0,715432836419092	11,1820419650318
6	16	1000	0,74	21,595	0,716198735124734	22,3401679105359
7	32	1000	0,765	41,887	0,717730532536019	44,5849779957551
8	64	1000	0,879	72,821	0,720794127358588	88,7909564892454
9	128	1000	1,03	124,468	0,726921317003727	176,085082395986
10	256	1000	1,187	216,079	0,739175696294005	346,331733150188
11	512	1000	1,185	432,892	0,76368445487456	670,433968809931
12	1024	1000	1,497	684,101	0,812701972035671	1259,99448166105
13	2048	1000	1,791	1145,951	0,910737006357894	2248,72821209946
14	4096	1000	2,918	1404,02	1,10680707500234	3700,73528847956
15	8192	1000	3,459	2369,75	1,49894721229123	5465,16910857592
16	16384	1000	3,709	4424,922	2,283227486869	7175,80709509915
17	32768	1000	4,804	6825,025	3,85178803602456	8507,21786700909
18	65536	640	6,013	10910,45	6,98890913433567	9377,14294753519
19	131072	320	9,223	14225,718	13,2631513309579	9882,41758910352
20	262144	160	15,788	16605,3	25,8116357242023	10156,0398109214
21	524288	80	32,136	16316,078	50,9086045106912	10298,6126812786
22	1048576	40	85,261	12299,165	101,102542083669	10371,4108309189
23	2097152	20	202,719	10345,913	201,490417229624	10408,1972176871
24	4194304	10	401,719	10441,475	402,266167521536	10426,6884432319
